127.0.0.1, 2018-09-30 11:28:12, GET, /, HTTP/1.1, 303, 0.032892
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.407955
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000646
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002312
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002009
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003720
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003602
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005594
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006013
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001693
127.0.0.1, 2018-09-30 11:28:12, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000966
127.0.0.1, 2018-09-30 11:28:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001301
127.0.0.1, 2018-10-08 15:03:09, GET, /, HTTP/1.1, 303, 0.018165
127.0.0.1, 2018-10-08 15:03:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.389344
127.0.0.1, 2018-10-08 15:03:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001455
127.0.0.1, 2018-10-08 15:03:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002733
127.0.0.1, 2018-10-08 15:03:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002758
